0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48.09090909,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.27272727,48.27272727,48.36363636,48.45454545,48.45454545,48.45454545,48.54545455,48.54545455,48.54545455,48.45454545,48.36363636,48.36363636,48.36363636,48.27272727,48.18181818,48.18181818,48.18181818,48.09090909,48.09090909,48.09090909,48.09090909,48.18181818,48.09090909,48.18181818,48.27272727,48.36363636,48.36363636,48.36363636,48.36363636,48.36363636,48.36363636,48.36363636,48.27272727,48.27272727,48.18181818,48.18181818,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48.09090909,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,48,48,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.81818182,47.90909091,48,48.09090909,48.18181818,48.18181818,48.18181818,48.18181818,48.27272727,48.27272727,48.27272727,48.27272727,48.27272727,48.27272727,48.18181818,48.09090909,48.09090909,48.09090909,48.09090909,48,48,48,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,48,48,48,48,48,48.09090909,48.18181818,48.27272727,48.36363636,48.45454545,48.54545455,48.54545455,48.54545455,48.54545455,48.54545455,48.54545455,48.45454545,48.36363636
48.27272727,48.18181818,48.09090909,48,48,48,47.90909091,47.81818182,47.72727273,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.72727273,47.81818182,47.90909091,48,48,48,48,48,48,48,48,48,48,47.90909091,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.81818182,47.72727273,47.72727273,47.63636364,47.63636364,47.63636364,47.54545455,47.45454545,47.36363636,47.27272727,47.18181818,47.18181818,47.27272727,47.27272727,47.27272727,47.36363636,47.45454545,47.54545455,47.63636364,47.72727273,47.90909091,48.09090909,48.09090909,48.18181818,48.27272727,48.36363636,48.36363636,48.36363636,48.36363636,48.36363636,48.27272727,48.18181818,48.09090909,48,47.81818182,47.72727273,47.72727273,47.63636364,47.54545455,47.45454545,47.36363636,47.36363636,47.27272727,47.27272727,47.36363636,47.45454545,47.36363636,47.36363636,47.45454545,47.45454545,47.45454545,47.45454545,47.54545455,47.63636364,47.63636364,47.63636364,47.63636364,47.72727273,47.72727273,47.72727273,47.81818182,47.90909091,48,48,48,48,48,48,48,48,48,48,48,47.90909091,47.81818182,47.72727273,47.72727273,47.63636364,47.54545455,47.45454545,47.36363636,47.27272727,47.18181818,47.09090909,47.09090909,47.09090909,47.18181818,47.18181818,47.27272727,47.36363636,47.45454545,47.54545455,47.63636364,47.72727273,47.81818182,47.81818182,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.81818182,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.90909091,47.81818182,47.81818182,47.72727273,47.72727273,47.63636364,47.54545455,47.45454545,47.36363636,47.27272727,47.18181818,47.09090909,47.09090909,47.09090909,47.09090909,47.09090909,47.09090909,47.18181818,47.27272727,47.36363636,47.45454545,47.63636364,47.72727273,47.81818182,47.81818182,47.90909091,48,48.09090909,48.09090909,48,48,47.90909091,47.72727273,47.63636364,47.63636364,47.63636364,47.54545455,47.45454545,47.36363636,47.27272727,47.27272727,47.18181818,47.18181818,47.18181818,47.18181818,47.09090909,47.09090909,47.18181818,47.18181818,47.18181818,47.18181818
47.27272727,47.36363636,47.45454545,47.54545455,47.63636364,47.81818182,47.81818182,47.81818182,48,48.09090909,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48.18181818,48,48,47.90909091,47.72727273,47.63636364,47.45454545,47.27272727,47.09090909,46.90909091,46.72727273,46.54545455,46.54545455,46.45454545,46.45454545,46.45454545,46.45454545,46.54545455,46.72727273,46.90909091,47.09090909,47.27272727,47.54545455,47.72727273,47.90909091,48.09090909,48.27272727,48.45454545,48.63636364,48.63636364,48.63636364,48.63636364,48.63636364,48.54545455,48.36363636,48.18181818,48,47.72727273,47.45454545,47.18181818,47,46.72727273,46.54545455,46.36363636,46.18181818,46.09090909,46,45.90909091,45.90909091,46,46.09090909,46.18181818,46.45454545,46.63636364,46.90909091,47.18181818,47.45454545,47.81818182,48.18181818,48.54545455,48.81818182,49.09090909,49.27272727,49.45454545,49.54545455,49.54545455,49.45454545,49.27272727,49,48.63636364,48.18181818,47.63636364,47.09090909,46.54545455,45.90909091,45.27272727,44.63636364,44.09090909,43.63636364,43.09090909,42.72727273,42.45454545,42.27272727,42.09090909,42.09090909,42.18181818,42.36363636,42.63636364,43,43.45454545,44,44.45454545,45,45.63636364,46.36363636,47,47.54545455,48.18181818,48.72727273,49.18181818,49.54545455,49.90909091,50.18181818,50.27272727,50.18181818,50,49.72727273,49.27272727,48.63636364,48,47.27272727,46.36363636,45.36363636,44.45454545,43.45454545,42.54545455,41.63636364,40.81818182,40.18181818,39.72727273,39.27272727,38.90909091,38.81818182,38.81818182,38.90909091,39.27272727,39.72727273,40.27272727,40.90909091,41.54545455,42.27272727,43.09090909,44,45,46,46.90909091,47.81818182,48.63636364,49.45454545,50.09090909,50.81818182,51.27272727,51.63636364,51.81818182,51.72727273,51.45454545,51.18181818,50.72727273,50.09090909,49.18181818,48.36363636,47.36363636,46.27272727,45.18181818,44.09090909,43,42.09090909,41.09090909,40.18181818,39.45454545,38.90909091,38.36363636,38,37.81818182,37.72727273,37.81818182,38,38.36363636,38.81818182,39.36363636,40,40.81818182,41.72727273,42.63636364,43.72727273,44.81818182,45.81818182,46.90909091,47.90909091,48.90909091,49.81818182,50.63636364,51.27272727,51.81818182,52.27272727
52.45454545,52.45454545,52.36363636,52.09090909,51.63636364,51,50.27272727,49.45454545,48.45454545,47.36363636,46.18181818,45,43.90909091,42.81818182,41.72727273,40.72727273,39.90909091,39.18181818,38.54545455,38.18181818,38,37.90909091,38,38.18181818,38.54545455,39.09090909,39.63636364,40.27272727,41,41.81818182,42.63636364,43.45454545,44.45454545,45.45454545,46.45454545,47.36363636,48.27272727,49.18181818,50.09090909,50.81818182,51.45454545,52,52.45454545,52.63636364,52.72727273,52.63636364,52.36363636,51.90909091,51.36363636,50.63636364,49.90909091,49,48,46.90909091,45.81818182,44.72727273,43.72727273,42.81818182,41.90909091,41.09090909,40.36363636,39.72727273,39.27272727,39,38.81818182,38.81818182,38.90909091,39,39.36363636,39.81818182,40.36363636,41,41.63636364,42.36363636,43.09090909,43.90909091,44.72727273,45.54545455,46.36363636,47.09090909,47.81818182,48.54545455,49.27272727,49.90909091,50.54545455,51,51.36363636,51.63636364,51.72727273,51.81818182,51.63636364,51.45454545,51.09090909,50.54545455,49.90909091,49.09090909,48.27272727,47.45454545,46.63636364,45.81818182,44.90909091,44.18181818,43.45454545,42.81818182,42.27272727,41.90909091,41.63636364,41.45454545,41.36363636,41.27272727,41.27272727,41.45454545,41.72727273,42,42.36363636,42.81818182,43.36363636,43.90909091,44.45454545,45,45.63636364,46.36363636,47,47.63636364,48.27272727,48.81818182,49.27272727,49.72727273,50.09090909,50.45454545,50.72727273,50.90909091,50.90909091,50.90909091,50.72727273,50.54545455,50.27272727,49.90909091,49.36363636,48.90909091,48.36363636,47.72727273,47.09090909,46.54545455,45.90909091,45.36363636,44.81818182,44.36363636,44,43.72727273,43.45454545,43.27272727,43.18181818,43.18181818,43.18181818,43.36363636,43.54545455,43.81818182,44.09090909,44.45454545,44.81818182,45.18181818,45.63636364,46.09090909,46.54545455,47,47.45454545,47.90909091,48.27272727,48.72727273,49.09090909,49.45454545,49.81818182,50.09090909,50.36363636,50.45454545,50.54545455,50.54545455,50.54545455,50.45454545,50.27272727,50,49.72727273,49.36363636,49,48.54545455,48.09090909,47.63636364,47.18181818,46.63636364,46.18181818,45.72727273,45.36363636,45,44.72727273,44.45454545,44.27272727,44.18181818,44.18181818,44.18181818
44.27272727,44.45454545,44.63636364,44.90909091,45.18181818,45.45454545,45.81818182,46.18181818,46.63636364,47,47.45454545,47.90909091,48.27272727,48.63636364,48.90909091,49.18181818,49.45454545,49.63636364,49.81818182,49.90909091,49.90909091,49.81818182,49.72727273,49.63636364,49.45454545,49.27272727,49.09090909,48.90909091,48.63636364,48.36363636,48.09090909,47.81818182,47.54545455,47.36363636,47.18181818,47,46.81818182,46.72727273,46.54545455,46.54545455,46.45454545,46.45454545,46.54545455,46.63636364,46.72727273,46.81818182,47,47.27272727,47.36363636,47.63636364,47.81818182,48.09090909,48.27272727,48.45454545,48.72727273,48.90909091,49.09090909,49.27272727,49.36363636,49.45454545,49.45454545,49.45454545,49.45454545,49.45454545,49.36363636,49.18181818,49,48.81818182,48.63636364,48.36363636,48.18181818,48,47.90909091,47.81818182,47.63636364,47.54545455,47.54545455,47.54545455,47.54545455,47.54545455,47.63636364,47.72727273,47.81818182,47.81818182,47.81818182,47.90909091,48,48.09090909,48.18181818,48.27272727,48.36363636,48.45454545,48.54545455,48.63636364,48.81818182,49,49.18181818,49.27272727,49.27272727,49.36363636,49.45454545,49.54545455,49.54545455,49.54545455,49.54545455,49.45454545,49.36363636,49.18181818,49.09090909,49,48.81818182,48.63636364,48.36363636,48.27272727,48.18181818,48,47.81818182,47.72727273,47.72727273,47.63636364,47.54545455,47.45454545,47.45454545,47.54545455,47.63636364,47.72727273,47.90909091,48.09090909,48.18181818,48.27272727,48.45454545,48.63636364,48.90909091,49,49.18181818,49.27272727,49.36363636,49.36363636,49.45454545,49.54545455,49.63636364,49.54545455,49.45454545,49.27272727,49.18181818,49,48.81818182,48.63636364,48.54545455,48.36363636,48.09090909,47.81818182,47.72727273,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.72727273,47.90909091,48.09090909,48.27272727,48.45454545,48.54545455,48.72727273,48.90909091,49.09090909,49.27272727,49.45454545,49.54545455,49.54545455,49.54545455,49.54545455,49.54545455,49.45454545,49.27272727,49.09090909,48.90909091,48.72727273,48.54545455,48.36363636,48.18181818,48,47.90909091,47.72727273,47.63636364,47.54545455,47.45454545,47.36363636,47.27272727,47.27272727,47.27272727,47.36363636,47.45454545,47.45454545,47.54545455,47.72727273,47.90909091
48.09090909,48.27272727,48.54545455,48.72727273,48.90909091,49.09090909,49.27272727,49.45454545,49.63636364,49.72727273,49.81818182,49.81818182,49.81818182,49.72727273,49.54545455,49.36363636,49.18181818,48.90909091,48.54545455,48.18181818,47.81818182,47.45454545,47.18181818,46.90909091,46.63636364,46.54545455,46.45454545,46.36363636,46.36363636,46.45454545,46.63636364,46.81818182,47.09090909,47.45454545,47.81818182,48.18181818,48.45454545,48.72727273,49.09090909,49.45454545,49.81818182,50.09090909,50.27272727,50.36363636,50.27272727,50.18181818,50.09090909,49.90909091,49.63636364,49.27272727,48.81818182,48.36363636,47.81818182,47.36363636,46.81818182,46.36363636,45.90909091,45.36363636,44.90909091,44.63636364,44.36363636,44.18181818,44,43.81818182,43.81818182,44,44.18181818,44.36363636,44.72727273,45.09090909,45.45454545,45.90909091,46.36363636,46.81818182,47.45454545,47.90909091,48.36363636,48.81818182,49.27272727,49.63636364,49.90909091,50.09090909,50.18181818,50.18181818,50.18181818,50,49.72727273,49.27272727,48.72727273,48.09090909,47.45454545,46.81818182,46.09090909,45.27272727,44.54545455,43.81818182,43.09090909,42.45454545,41.90909091,41.54545455,41.27272727,41,40.90909091,40.90909091,41,41.09090909,41.36363636,41.81818182,42.27272727,42.90909091,43.54545455,44.18181818,45,45.72727273,46.45454545,47.27272727,48.09090909,48.72727273,49.36363636,49.90909091,50.27272727,50.54545455,50.81818182,50.81818182,50.72727273,50.54545455,50.18181818,49.81818182,49.18181818,48.45454545,47.81818182,47,46.18181818,45.27272727,44.36363636,43.54545455,42.81818182,42.09090909,41.36363636,40.90909091,40.45454545,40,39.81818182,39.63636364,39.63636364,39.81818182,40,40.36363636,40.81818182,41.36363636,42,42.72727273,43.54545455,44.36363636,45.27272727,46.18181818,47.09090909,48,48.81818182,49.63636364,50.36363636,50.90909091,51.36363636,51.72727273,51.90909091,51.90909091,51.72727273,51.36363636,50.90909091,50.27272727,49.54545455,48.63636364,47.72727273,46.72727273,45.72727273,44.72727273,43.81818182,43,42.18181818,41.45454545,40.81818182,40.27272727,39.90909091,39.72727273,39.63636364,39.63636364,39.81818182,40,40.36363636,40.90909091,41.45454545,42.09090909,42.81818182,43.63636364,44.45454545,45.36363636,46.27272727,47.09090909,48,48.81818182
49.54545455,50.27272727,50.90909091,51.45454545,51.90909091,52.27272727,52.45454545,52.45454545,52.36363636,52.09090909,51.54545455,51,50.36363636,49.45454545,48.54545455,47.54545455,46.45454545,45.36363636,44.36363636,43.45454545,42.63636364,42,41.27272727,40.63636364,40.36363636,40.09090909,39.90909091,39.90909091,40,40.27272727,40.63636364,41,41.54545455,42.27272727,43,43.72727273,44.54545455,45.36363636,46.27272727,47.18181818,47.90909091,48.63636364,49.45454545,50,50.54545455,51.09090909,51.45454545,51.72727273,52,52,52,51.81818182,51.45454545,50.90909091,50.36363636,49.72727273,49,48.27272727,47.45454545,46.63636364,45.81818182,44.90909091,44.18181818,43.54545455,42.90909091,42.45454545,42,41.63636364,41.36363636,41.27272727,41.18181818,41.27272727,41.45454545,41.72727273,42.09090909,42.63636364,43.18181818,43.72727273,44.36363636,45.09090909,45.72727273,46.45454545,47.09090909,47.81818182,48.45454545,49,49.45454545,49.81818182,50.18181818,50.45454545,50.63636364,50.81818182,50.81818182,50.81818182,50.63636364,50.36363636,50.09090909,49.72727273,49.36363636,48.81818182,48.27272727,47.72727273,47.09090909,46.54545455,46,45.54545455,45.09090909,44.63636364,44.27272727,43.90909091,43.81818182,43.72727273,43.63636364,43.63636364,43.72727273,43.81818182,43.90909091,44.18181818,44.54545455,44.90909091,45.27272727,45.63636364,46.09090909,46.54545455,47,47.45454545,47.90909091,48.45454545,48.81818182,49.18181818,49.54545455,49.90909091,50.09090909,50.27272727,50.45454545,50.54545455,50.54545455,50.45454545,50.27272727,50.18181818,49.90909091,49.54545455,49.18181818,48.81818182,48.36363636,47.81818182,47.36363636,46.90909091,46.54545455,46.18181818,45.72727273,45.36363636,45.09090909,44.81818182,44.63636364,44.54545455,44.54545455,44.54545455,44.54545455,44.63636364,44.72727273,45,45.27272727,45.54545455,45.90909091,46.27272727,46.63636364,47,47.36363636,47.81818182,48.18181818,48.54545455,48.81818182,49.09090909,49.36363636,49.54545455,49.72727273,49.81818182,49.90909091,50,50,49.90909091,49.81818182,49.72727273,49.54545455,49.36363636,49.18181818,48.90909091,48.63636364,48.27272727,47.90909091,47.54545455,47.27272727,47,46.72727273,46.63636364,46.45454545,46.27272727,46.27272727,46.27272727
46.45454545,46.63636364,46.81818182,47,47.18181818,47.45454545,47.72727273,48.09090909,48.45454545,48.72727273,49,49.18181818,49.36363636,49.54545455,49.72727273,49.90909091,50,50,49.90909091,49.81818182,49.72727273,49.63636364,49.54545455,49.45454545,49.36363636,49.18181818,49,48.81818182,48.63636364,48.54545455,48.45454545,48.36363636,48.18181818,48,47.81818182,47.72727273,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.63636364,47.72727273,47.90909091,48.18181818,48.36363636,48.63636364,48.81818182,49,49.18181818,49.36363636,49.54545455,49.72727273,49.90909091,50,50,49.90909091,49.81818182,49.72727273,49.63636364,49.54545455,49.36363636,49.18181818,49,48.72727273,48.45454545,48.18181818,48,47.81818182,47.72727273,47.63636364,47.45454545,47.45454545,47.45454545,47.45454545,47.54545455,47.63636364,47.72727273,47.90909091,48.09090909,48.18181818,48.27272727,48.54545455,48.72727273,48.90909091,49.09090909,49.18181818,49.27272727,49.45454545,49.54545455,49.63636364,49.72727273,49.72727273,49.63636364,49.54545455,49.45454545,49.36363636,49.36363636,49.27272727,49.09090909,48.90909091,48.72727273,48.45454545,48.36363636,48.27272727,48.09090909,47.90909091,47.72727273,47.54545455,47.45454545,47.36363636,47.27272727,47.27272727,47.36363636,47.36363636,47.36363636,47.54545455,47.72727273,47.90909091,48.18181818,48.45454545,48.72727273,49,49.18181818,49.36363636,49.54545455,49.72727273,49.81818182,49.90909091,50,49.90909091,49.81818182,49.63636364,49.45454545,49.27272727,49,48.72727273,48.45454545,48.18181818,47.81818182,47.54545455,47.27272727,47,46.81818182,46.63636364,46.54545455,46.54545455,46.54545455,46.63636364,46.72727273,46.90909091,47,47.27272727,47.54545455,47.81818182,48.09090909,48.36363636,48.63636364,49,49.18181818,49.45454545,49.72727273,49.90909091,50,50.09090909,50.09090909,50.09090909,49.90909091,49.63636364,49.27272727,49,48.54545455,48,47.54545455,47.09090909,46.54545455,46,45.45454545,45.09090909,44.81818182,44.54545455,44.27272727,44.09090909,44,44,44,44.09090909,44.36363636,44.63636364,44.90909091,45.18181818,45.45454545,45.90909091,46.36363636,46.81818182,47.27272727,47.81818182,48.36363636,48.81818182
49.27272727,49.63636364,50,50.36363636,50.54545455,50.54545455,50.54545455,50.45454545,50.18181818,49.72727273,49.18181818,48.63636364,48,47.27272727,46.54545455,45.72727273,45.09090909,44.45454545,43.72727273,43.09090909,42.63636364,42.36363636,42.09090909,42,42,42.09090909,42.27272727,42.45454545,42.72727273,43.09090909,43.45454545,43.90909091,44.36363636,44.90909091,45.45454545,46.09090909,46.63636364,47.27272727,47.90909091,48.45454545,49,49.54545455,50,50.27272727,50.45454545,50.54545455,50.54545455,50.36363636,50.09090909,49.72727273,49.27272727,48.72727273,48.09090909,47.36363636,46.72727273,46,45.18181818,44.36363636,43.72727273,43.09090909,42.54545455,42.09090909,41.72727273,41.45454545,41.27272727,41.09090909,41.09090909,41.27272727,41.54545455,41.90909091,42.36363636,42.81818182,43.36363636,44,44.63636364,45.36363636,46.09090909,46.81818182,47.54545455,48.18181818,48.81818182,49.36363636,49.90909091,50.36363636,50.72727273,51,51.18181818,51.27272727,51.09090909,50.81818182,50.45454545,49.90909091,49.27272727,48.63636364,47.90909091,47.09090909,46.36363636,45.54545455,44.72727273,44.09090909,43.45454545,42.81818182,42.27272727,41.81818182,41.45454545,41.18181818,41,40.90909091,40.90909091,41.09090909,41.36363636,41.63636364,42.09090909,42.63636364,43.18181818,43.72727273,44.36363636,45.09090909,45.81818182,46.63636364,47.36363636,48,48.63636364,49.27272727,49.81818182,50.36363636,50.81818182,51.18181818,51.36363636,51.36363636,51.18181818,51,50.63636364,50.27272727,49.72727273,49,48.27272727,47.54545455,46.72727273,45.90909091,45.18181818,44.45454545,43.72727273,43.18181818,42.63636364,42.27272727,42.09090909,41.90909091,41.72727273,41.72727273,41.81818182,42,42.27272727,42.54545455,42.90909091,43.36363636,43.81818182,44.36363636,44.90909091,45.54545455,46.09090909,46.72727273,47.27272727,47.81818182,48.45454545,49,49.45454545,49.90909091,50.27272727,50.54545455,50.72727273,50.90909091,50.90909091,50.81818182,50.72727273,50.45454545,50,49.54545455,48.90909091,48.27272727,47.63636364,46.90909091,46.18181818,45.45454545,44.81818182,44.18181818,43.63636364,43.18181818,42.81818182,42.63636364,42.36363636,42.27272727,42.36363636,42.45454545,42.72727273,43.09090909,43.45454545,43.81818182,44.36363636,44.81818182
45.27272727,45.81818182,46.36363636,46.81818182,47.36363636,47.81818182,48.27272727,48.72727273,49.18181818,49.54545455,49.90909091,50.18181818,50.45454545,50.63636364,50.81818182,50.81818182,50.81818182,50.63636364,50.36363636,50.09090909,49.72727273,49.18181818,48.63636364,48.09090909,47.45454545,46.81818182,46.18181818,45.54545455,45,44.54545455,44,43.63636364,43.45454545,43.27272727,43.18181818,43.18181818,43.18181818,43.36363636,43.54545455,43.81818182,44.09090909,44.54545455,44.90909091,45.36363636,45.81818182,46.18181818,46.63636364,47.09090909,47.45454545,47.90909091,48.27272727,48.63636364,49,49.36363636,49.54545455,49.81818182,50.09090909,50.18181818,50.27272727,50.36363636,50.36363636,50.27272727,50.09090909,49.81818182,49.54545455,49.27272727,48.81818182,48.36363636,47.90909091,47.45454545,47,46.54545455,46.18181818,45.81818182,45.54545455,45.18181818,44.90909091,44.72727273,44.63636364,44.63636364,44.63636364,44.72727273,44.81818182,44.90909091,45.18181818,45.36363636,45.63636364,45.90909091,46.27272727,46.54545455,46.90909091,47.27272727,47.54545455,47.90909091,48.27272727,48.54545455,48.81818182,49.09090909,49.36363636,49.54545455,49.63636364,49.63636364,49.63636364,49.63636364,49.54545455,49.45454545,49.27272727,49.09090909,48.81818182,48.54545455,48.27272727,48,47.72727273,47.45454545,47.27272727,47,46.72727273,46.54545455,46.36363636,46.27272727,46.18181818,46.09090909,46.09090909,46.09090909,46.18181818,46.18181818,46.27272727,46.36363636,46.54545455,46.72727273,46.90909091,47.18181818,47.45454545,47.72727273,48,48.18181818,48.45454545,48.72727273,49,49.18181818,49.36363636,49.54545455,49.63636364,49.63636364,49.63636364,49.63636364,49.63636364,49.45454545,49.27272727,49.09090909,48.81818182,48.54545455,48.27272727,48,47.72727273,47.45454545,47.18181818,46.90909091,46.81818182,46.72727273,46.63636364,46.63636364,46.72727273,46.81818182,46.90909091,47.09090909,47.27272727,47.45454545,47.72727273,47.90909091,48.09090909,48.27272727,48.45454545,48.54545455,48.72727273,48.90909091,49,49.09090909,49.18181818,49.18181818,49.18181818,49.18181818,49.18181818,49.18181818,49.18181818,49.09090909,49,48.90909091,48.81818182,48.63636364,48.54545455,48.36363636,48.18181818,48,47.81818182,47.63636364,47.45454545,47.27272727,47.18181818,47.09090909
